round,energy,time,epochs
1,64.9457999872,20137.0,3.0
1,63.9413999616,20050.0,3.0
1,63.9413999616,20050.0,3.0
1,63.9413999616,20050.0,3.0
1,64.9457999872,20137.0,3.0
1,63.9413999616,20050.0,3.0
1,64.9457999872,20137.0,3.0
1,63.9413999616,20050.0,3.0
1,64.9457999872,20137.0,3.0
1,64.9457999872,20137.0,3.0
2,277.6207500288,38928.0,3.0
2,277.6207500288,38928.0,3.0
2,64.9457999872,20137.0,3.0
2,63.9413999616,20050.0,3.0
2,277.6207500288,38928.0,3.0
2,64.9457999872,20137.0,3.0
2,63.9413999616,20050.0,3.0
2,64.9457999872,20137.0,3.0
2,63.9413999616,20050.0,3.0
2,277.6207500288,38928.0,3.0
